id	x	y	diameter	stem	mother	density	density2
Z0713	266371.9	4040533.78	22.4	1	0	0	 No Fruits
Z0712	266372.07	4040533.4	13.9	1	0	0	 No Fruits
Z0715	266372.04	4040530.38	12.8	2	0	0	 No Fruits
Z0714	266378.51	4040535.45	16.8	1	0	0	 No Fruits
Z0717	266379.96	4040537.4	5.5	1	0	0	 No Fruits
Z0716	266380.65	4040537.48	11.2	1	0	0	 No Fruits
Z0718	266381.62	4040541.63	9.5	1	0	0	 No Fruits
Z0719	266385.96	4040540.81	9.3	1	0	0	 No Fruits
Z0720	266386.2	4040544.77	10.2	2	0	0	 No Fruits
Z0721	266390.92	4040552.43	8.2	2	0	0	 No Fruits
Z0722	266393.61	4040555.42	10.3	1	0	0	 No Fruits
Z0731	266430.73	4040475.36	14.1	1	0	0	 No Fruits
Z0730	266433.71	4040478.46	12.8	1	0	0	 No Fruits
Z0723	266434.24	4040482.65	17.3	1	0	0	 No Fruits
Z0725	266435.39	4040482.37	8.4	1	0	0	 No Fruits
Z0724	266435.68	4040482.31	15.1	1	0	0	 No Fruits
Z0727	266436.54	4040481.35	13.3	1	0	0	 No Fruits
Z0726	266436.53	4040479.96	8.4	1	0	0	 No Fruits
Z0728	266437.91	4040479.89	13.1	1	0	0	 No Fruits
Z0729	266438.11	4040479.92	5.5	1	0	0	 No Fruits
Z0733	266442.38	4040483.47	9.2	2	0	0	 No Fruits
Z0734	266446.86	4040483.54	13.3	1	0	0	 No Fruits
Z0732	266443.79	4040489.09	16	1	0	0	 No Fruits
Z0735	266449.84	4040487.45	9.7	2	0	0	 No Fruits
Z0736	266449.71	4040488.3	10.3	1	0	0	 No Fruits
Z0737	266449.86	4040488.28	13.3	2	0	0	 No Fruits
Z0738	266452.49	4040487.56	7.6	3	0	0	 No Fruits
Z0739	266455.08	4040487.69	10.9	1	0	0	 No Fruits
Z0740	266457.07	4040485.65	18.6	1	0	0	 No Fruits
Z0741	266459.14	4040483.76	11.9	1	0	0	 No Fruits
Z0742	266461.42	4040483.61	10.9	1	0	0	 No Fruits
Z0743	266465.07	4040481.23	12.1	3	0	0	 No Fruits
Z0746	266469.19	4040480.52	8.6	1	0	0	 No Fruits
Z0748	266469.83	4040482.52	11.5	2	0	0	 No Fruits
Z0747	266470.32	4040483.21	6	1	0	0	 No Fruits
Z0744	266467.22	4040485	9.5	2	0	0	 No Fruits
Z0745	266469.35	4040485.88	11.4	1	0	0	 No Fruits
Z0751	266471.05	4040485.73	6.5	1	0	0	 No Fruits
Z0749	266474.09	4040487.92	10.5	1	0	0	 No Fruits
Z0750	266481.08	4040490.62	5.2	1	0	0	 No Fruits
Z0752	266491.08	4040490.37	7.5	2	0	0	 No Fruits
Z0753	266492.76	4040490.31	6.5	1	0	0	 No Fruits
Z0754	266492.56	4040492.26	8.3	2	0	0	 No Fruits
Z0755	266496.38	4040491.72	6.9	1	0	0	 No Fruits
Z0756	266495.71	4040487.54	9.9	1	0	0	 No Fruits
Z0757	266498.66	4040489.65	13.3	3	0	0	 No Fruits
Z0758	266498.96	4040489.64	11.5	2	0	0	 No Fruits
Z0759	266503.43	4040493.01	17.2	1	0	0	 No Fruits
Z0760	266533.17	4040500.41	7.3	1	0	0	 No Fruits
Z0761	266538.22	4040499.22	13.6	1	0	0	 No Fruits
Z0763	266539.17	4040500.75	6.1	1	0	0	 No Fruits
Z0762	266539.36	4040500.73	11.3	2	1	4	High
Z0764	266540.76	4040505.67	8	1	0	0	 No Fruits
Z0768	266543.4	4040506.4	9.1	1	0	0	 No Fruits
Z0767	266546.99	4040503.11	9.7	1	0	0	 No Fruits
Z0765	266543.98	4040504.49	11.8	9	1	4	High
Z0769	266544.71	4040507.71	7.6	3	0	0	 No Fruits
Z0771	266544.73	4040509.38	11	1	0	0	 No Fruits
Z0772	266553.24	4040506.06	15.2	10	0	0	 No Fruits
Z0774	266560.5	4040507.46	12.5	4	0	0	 No Fruits
Z0775	266553.11	4040511.1	11.6	1	0	0	 No Fruits
Z0776	266560.02	4040512.61	8.1	1	1	4	High
Z0777	266559.91	4040512.7	5.1	1	0	0	 No Fruits
Z0781	266560.33	4040520.29	4.3	1	0	0	 No Fruits
Z0779	266560.99	4040520.54	5.2	1	0	0	 No Fruits
Z0780	266561.81	4040522.83	8.6	1	0	0	 No Fruits
Z0782	266563.84	4040524.68	5.3	1	0	0	 No Fruits
