"x"	"y"	"altitude"	"altitude_type"	"id"
"205"	267310.5	4044741.54	805.900024414062	"upper"	"S0138"
"206"	267277.96	4044735.45	802.849975585938	"upper"	"S0135"
"207"	267211.37	4044753.64	807.650024414062	"upper"	"S0087"
"208"	267202.25	4044757.84	808.822998046875	"upper"	"S0088"
"209"	267149.15	4044758.85	807.150024414062	"upper"	"S0133"
"210"	267141.03	4044750.1	807.052001953125	"upper"	"S0089"
"211"	267118.42	4044732.27	806.880004882812	"upper"	"S0090"
"212"	267099.58	4044766.37	809.757995605469	"upper"	"S0132"
"213"	267082.28	4044760.95	810.447998046875	"upper"	"S0131"
"214"	267072.72	4044749.38	809.786987304688	"upper"	"S0130"
"215"	267050.31	4044681.4	816.715026855469	"upper"	"S0091"
"216"	267021.01	4044692.74	833.796997070312	"upper"	"S0092"
"217"	267015.25	4044693.9	837.0830078125	"upper"	"S0867"
"218"	267014.4	4044693.12	837.0830078125	"upper"	"S0866"
"219"	267005.88	4044712.22	845.174987792969	"upper"	"S0868"
"220"	267003.47	4044695.75	843.528015136719	"upper"	"S0095"
"221"	267010.01	4044671.32	839.518005371094	"upper"	"S0094"
"222"	267012.72	4044664.56	838.518005371094	"upper"	"S0093"
"223"	266992.03	4044710.17	855.135009765625	"upper"	"S0129"
"224"	266988.8	4044711.52	855.135009765625	"upper"	"S0128"
"225"	266988.7	4044709.23	855.135009765625	"upper"	"S0127"
"226"	266989.97	4044683.42	852.106994628906	"upper"	"S0096"
"227"	266987.44	4044682.5	853.414978027344	"upper"	"S0097"
"228"	266983.19	4044679.38	853.414978027344	"upper"	"S0098"
"229"	266982.11	4044681.46	856.405029296875	"upper"	"S0099"
"230"	266974.91	4044671.42	857.700012207031	"upper"	"S0100"
"231"	266974.32	4044670.66	857.700012207031	"upper"	"S0101"
"232"	266905.17	4044640.83	906.039978027344	"upper"	"S0126"
"233"	266907.62	4044634.42	902.650024414062	"upper"	"S0102"
"234"	266905.14	4044628.66	906.356994628906	"upper"	"S0103"
"235"	266891.46	4044612.83	913.994995117188	"upper"	"S0105"
"236"	266880.56	4044626.98	924.835021972656	"upper"	"S0104"
"237"	266864.72	4044633.71	935.140014648438	"upper"	"S0125"
"238"	266862.82	4044625.05	935.434997558594	"upper"	"S0106"
"239"	266858.21	4044622.85	937.60498046875	"upper"	"S0107"
"240"	266855.35	4044633.14	938.7919921875	"upper"	"S0124"
"241"	266853.8	4044633.8	938.7919921875	"upper"	"S0123"
"242"	266835.67	4044627.96	944.049987792969	"upper"	"S0876"
"243"	266832.79	4044569.45	943.565002441406	"upper"	"S0108"
"244"	266800.38	4044594.4	958.900024414062	"upper"	"S0109"
"245"	266794.47	4044595.52	959.31298828125	"upper"	"S0110"
"246"	266784.57	4044592.12	961.9580078125	"upper"	"S0122"
"247"	266774.7	4044598.72	961.515014648438	"upper"	"S0111"
"248"	266773.91	4044598.54	961.515014648438	"upper"	"S0869"
"249"	266770.62	4044595.42	963.015014648438	"upper"	"S0119"
"250"	266767.96	4044598.85	962.057006835938	"upper"	"S0112"
"251"	266763.48	4044610.25	959.784973144531	"upper"	"S0113"
"252"	266753.53	4044609.41	960.671997070312	"upper"	"S0114"
"253"	266748.83	4044607.67	961.3330078125	"upper"	"S0871"
"254"	266763.5	4044586.67	966.552001953125	"upper"	"S0121"
"255"	266763.38	4044587.38	966.552001953125	"upper"	"S0870"
"256"	266761.06	4044589.02	966.377990722656	"upper"	"S0120"
"257"	266755.12	4044589.91	967.151977539062	"upper"	"S0875"
