mother	father	SpDist
JV0617	JV0624	48.6705917
JV0617	JV0622	31.8887080
JV0617	JV0619	28.4359157
JV0617	JV0620	22.9603920
JV0617	JV0621	22.6256867
JV0617	JV0618	4.8510824
JV0617	JV0617	0.0000000
JV0617	JV0616	3.7719491
JV0617	JV0615	5.0311529
JV0617	JV0614	9.5837884
JV0617	JV0613	95.9860042
JV0617	JV0612	98.0728352
JV0617	JV0611	101.6546162
JV0617	JV0610	111.9157187
JV0617	JV0609	112.8436640
JV0617	JV0608	117.2603326
JV0617	JV0607	119.5198682
JV0617	JV0604	123.6607476
JV0617	JV0606	124.1214570
JV0617	JV0605	125.0836220
JV0617	JV0603	127.7964104
JV0617	JV0602	135.4562457
JV0617	JV0601	139.5444592
JV0617	JV0800	142.1023666
JV0617	JV0799	147.9589825
JV0617	JV0798	148.5702023
JV0617	JV0797	153.6502652
JV0617	JV0796	154.9600739
JV0617	JV0793	159.4541630
JV0617	JV0792	160.0703402
JV0617	JV0791	172.6641051
JV0617	JV0788	178.6797753
JV0617	JV0789	179.1134437
JV0617	JV0787	184.5468829
JV0617	JV0786	203.4055152
JV0616	JV0853	70.9008103
JV0616	JV0854	70.6792310
JV0616	JV0852	71.1538088
JV0616	JV0851	62.4990000
JV0616	JV0855	61.0942264
JV0616	JV0624	51.5706283
JV0616	JV0622	35.0047782
JV0616	JV0619	31.6749633
JV0616	JV0620	26.2723276
JV0616	JV0621	26.0303688
JV0616	JV0618	8.5763512
JV0616	JV0617	3.7719491
JV0616	JV0616	0.0000000
JV0616	JV0615	2.6552024
JV0616	JV0614	6.9024778
JV0616	JV0613	93.1511342
JV0616	JV0612	95.1743631
JV0616	JV0611	98.6804712
JV0616	JV0610	109.1954015
JV0616	JV0609	110.1315400
JV0616	JV0608	114.4816370
JV0616	JV0607	116.7965672
JV0616	JV0604	120.8674220
JV0616	JV0606	121.3908304
JV0616	JV0605	122.3410565
JV0616	JV0603	124.9679163
JV0616	JV0602	132.6565901
JV0616	JV0601	136.7327163
JV0616	JV0800	139.3167793
JV0616	JV0799	145.1935622
JV0616	JV0798	145.8059128
JV0616	JV0797	150.9412561
JV0616	JV0796	152.1751665
JV0616	JV0793	156.6424199
JV0616	JV0792	157.2363628
JV0616	JV0791	170.0192036
JV0616	JV0788	176.0781579
JV0616	JV0789	176.5202597
JV0616	JV0787	181.9934559
JV0616	JV0786	201.1188882
JV0615	JV0853	72.5047488
JV0615	JV0854	72.3728402
JV0615	JV0852	72.8717010
JV0615	JV0851	64.3409675
JV0615	JV0855	63.0191035
JV0615	JV0624	53.6321172
JV0615	JV0622	36.9030785
JV0615	JV0619	33.4654120
JV0615	JV0620	27.9914648
JV0615	JV0621	27.6484936
JV0615	JV0618	9.7452809
JV0615	JV0617	5.0311529
JV0615	JV0616	2.6552024
JV0615	JV0615	0.0000000
JV0615	JV0614	4.5920039
JV0615	JV0613	91.0260979
JV0615	JV0612	93.0926340
JV0615	JV0611	96.6541179
JV0615	JV0610	107.0005168
JV0615	JV0609	107.9319462
JV0615	JV0608	112.3222066
JV0615	JV0607	114.6039109
JV0615	JV0604	118.7174503
JV0615	JV0606	119.2027416
JV0615	JV0605	120.1601015
JV0615	JV0603	122.8405878
JV0615	JV0602	130.5111375
JV0615	JV0601	134.5950913
JV0615	JV0800	137.1627869
JV0615	JV0799	143.0273855
JV0615	JV0798	143.6390702
JV0615	JV0797	148.7418788
JV0615	JV0796	150.0212052
JV0615	JV0793	154.5054614
JV0615	JV0792	155.1137367
JV0615	JV0791	167.7846706
JV0615	JV0788	173.8208693
JV0615	JV0789	174.2586245
JV0615	JV0787	179.7118930
JV0615	JV0786	198.7210007
JV0614	JV0853	76.9470240
JV0614	JV0854	76.8594334
JV0614	JV0852	77.3690694
JV0614	JV0851	68.8875838
JV0614	JV0855	67.5890028
JV0614	JV0624	58.2230444
JV0614	JV0622	41.4724885
JV0614	JV0619	38.0074006
JV0614	JV0620	32.5151565
JV0614	JV0621	32.1336661
JV0614	JV0618	14.1523850
JV0614	JV0617	9.5837884
JV0614	JV0616	6.9024778
JV0614	JV0615	4.5920039
JV0614	JV0614	0.0000000
JV0614	JV0613	86.4342525
JV0614	JV0612	88.5035773
JV0614	JV0611	92.0732165
JV0614	JV0610	102.4121443
JV0614	JV0609	103.3442040
JV0614	JV0608	107.7307913
JV0614	JV0607	110.0153357
JV0614	JV0604	114.1256803
JV0614	JV0606	114.6136698
JV0614	JV0605	115.5702925
JV0614	JV0603	118.2486300
JV0614	JV0602	125.9192698
JV0614	JV0601	130.0031050
JV0614	JV0800	132.5712080
JV0614	JV0799	138.4364840
JV0614	JV0798	139.0482161
JV0614	JV0797	144.1544373
JV0614	JV0796	145.4296548
JV0614	JV0793	149.9134794
JV0614	JV0792	150.5218190
JV0614	JV0791	163.2037947
JV0614	JV0788	169.2458901
JV0614	JV0789	169.6849271
JV0614	JV0787	175.1447887
JV0614	JV0786	194.2197153
JV0613	JV0853	162.2115745
JV0613	JV0854	162.4831945
JV0613	JV0852	163.0765418
JV0613	JV0851	155.0106732
JV0613	JV0855	153.8822137
JV0613	JV0624	144.6546830
JV0613	JV0622	127.8053555
JV0613	JV0619	124.2186045
JV0613	JV0620	118.6781538
JV0613	JV0621	118.1380265
JV0613	JV0618	100.2758695
JV0613	JV0617	95.9860042
JV0613	JV0616	93.1511342
