"","offspring","mother","father","SpDist","pop"
"313","S0094F17","S0094","S0126",109.1836329,"PL"
"314","S0094F19","S0094","S0130",100.1294547,"PL"
"315","S0094F20","S0094","S0093",7.2829733,"PL"
"316","S0109F01","S0109","S0106",69.5569989,"PL"
"317","S0109F02","S0109","S0122",15.9735563,"PL"
"318","S0109F03","S0109","S0119",29.7774747,"PL"
"319","S0109F04","S0109","S0122",15.9735563,"PL"
"320","S0109F06","S0109","S0135",497.9736528,"PL"
"321","S0109F07","S0109","S0122",15.9735563,"PL"
"322","S0109F08","S0109","S0122",15.9735563,"PL"
"323","S0109F09","S0109","S0135",497.9736528,"PL"
"324","S0109F10","S0109","S0124",67.2494498,"PL"
"325","S0109F11","S0109","S0109",0,"PL"
"326","S0109F15","S0109","S0876",48.6996684,"PL"
"327","S0151F01","S0151","S0067",204.8216126,"PL"
"328","S0151F03","S0151","S0083",284.9039356,"PL"
"329","S0151F04","S0151","S0843",571.8773215,"PL"
"330","S0151F05","S0151","S0860",189.3351193,"PL"
"331","S0151F06","S0151","S0143",114.2715713,"PL"
"332","S0151F07","S0151","S0843",571.8773215,"PL"
"333","S0151F09","S0151","S0135",104.7251813,"PL"
"334","S0151F11","S0151","S0844",532.2657897,"PL"
"335","S0151F12","S0151","S0147",172.6139102,"PL"
"336","S0151F13","S0151","S0062",256.9039295,"PL"
"337","S0151F14","S0151","S0067",204.8216126,"PL"
"338","S0151F15","S0151","S0055",290.7690389,"PL"
"339","S0157F01","S0157","S0123",479.9622711,"PL"
"340","S0157F03","S0157","S0157",0,"PL"
"341","S0157F04","S0157","S0050",629.358804,"PL"
"342","S0157F05","S0157","S0046",717.7522408,"PL"
"343","S0157F06","S0157","S0140",311.3421631,"PL"
"344","S0157F07","S0157","S0130",250.2358258,"PL"
"345","S0157F10","S0157","S0048",704.7343571,"PL"
"346","S0157F11","S0157","S0157",0,"PL"
"347","S0157F12","S0157","S0858",483.3904592,"PL"
"348","S0157F14","S0157","S0157",0,"PL"
"349","S0157F15","S0157","S0090",245.7443228,"PL"
"350","S0867F01","S0867","S0868",20.5771548,"PL"
"351","S0867F02","S0867","S0058",532.3539882,"PL"
"352","S0867F03","S0867","S0124",171.0549257,"PL"
"353","S0867F04","S0867","S0123",172.2733656,"PL"
"354","S0867F05","S0867","S0868",20.5771548,"PL"
"355","S0867F06","S0867","S0856",454.6589759,"PL"
"356","S0867F07","S0867","S0124",171.0549257,"PL"
"357","S0867F09","S0867","S0128",31.7815497,"PL"
"358","S0867F11","S0867","S0873",298.4567305,"PL"
"359","S0867F12","S0867","S0147",451.6724178,"PL"
"360","S0867F13","S0867","S0090",110.0740923,"PL"
"361","S0867F14","S0867","S0873",298.4567305,"PL"
"362","S0867F15","S0867","S0111",258.6958347,"PL"
"363","S0868F01","S0868","S0093",48.148325,"PL"
"364","S0868F02","S0868","S0093",48.148325,"PL"
"365","S0868F03","S0868","S0093",48.148325,"PL"
"366","S0868F04","S0868","S0128",17.0943382,"PL"
"367","S0868F05","S0868","S0092",24.6655083,"PL"
"368","S0868F06","S0868","S0097",34.9758774,"PL"
"369","S0868F07","S0868","S0873",296.0084467,"PL"
"370","S0868F08","S0868","S0130",76.4751672,"PL"
"371","S0868F10","S0868","S0132",108.2215898,"PL"
"372","S0868F11","S0868","S0108",224.3733964,"PL"
"373","S0868F12","S0868","S0865",335.0672583,"PL"
"374","S0868F13","S0868","S0092",24.6655083,"PL"
"375","S0868F14","S0868","S0130",76.4751672,"PL"
"376","S0868F15","S0868","S0064",514.4713567,"PL"
"377","S0870F01","S0870","S0869",15.3436143,"PL"
"378","S0870F02","S0870","S0120",2.8411265,"PL"
"379","S0870F03","S0870","S0098",238.2864581,"PL"
"380","S0870F04","S0870","S0869",15.3436143,"PL"
"381","S0870F05","S0870","S0096",246.1030469,"PL"
"382","S0870F06","S0870","S0093",261.0118541,"PL"
"383","S0870F07","S0870","S0120",2.8411265,"PL"
"384","S0870F08","S0870","S0120",2.8411265,"PL"
"385","S0870F09","S0870","S0120",2.8411265,"PL"
"386","S0870F10","S0870","S0869",15.3436143,"PL"
