tree	FamA103A	FamA103B	FamA12A	FamA12B	FamB102A	FamB102B	FamB101A	FamB101B	FamA110A	FamA110B	VicA125A	VicA125B	VicA7A	VicA7B	VicA116A	VicA116B	VicA3A	VicA3B	NedB7A	NedB7B	NedA104A	NedA104B	NedB106A	NedB106B	NedB4A	NedB4B	PetA8A	PetA8B	PetB8A	PetB8B	PetB9A	PetB9B
JV0798	117	119	160	160	193	193	238	238	277	277	115	115	165	169	236	236	282	282	124	124	169	175	216	216	251	265	200	200	239	239	294	294
JV0797	117	117	160	160	193	193	238	240	288	292	99	115	154	165	236	236	282	286	124	128	169	169	216	216	251	265	200	202	239	243	294	294
JV0796	117	119	160	160	193	193	240	242	288	288	115	119	165	165	234	236	282	286	122	124	169	169	216	216	250	265	200	200	239	239	294	294
JV0793	115	117	160	164	193	193	240	246	288	288	117	117	169	171	234	236	282	282	124	126	169	173	214	214	254	265	200	200	239	239	294	294
JV0792	117	117	160	160	193	193	238	240	277	288	115	117	165	169	236	236	282	282	124	124	169	169	216	218	265	265	200	200	239	239	294	294
JV0791	117	119	160	160	193	193	238	238	277	277	115	115	165	169	236	236	282	282	124	124	169	175	216	218	251	265	200	200	239	239	294	294
JV0788	119	119	160	160	193	193	238	238	277	288	99	115	165	175	236	236	282	282	128	128	169	169	216	216	265	299	200	200	239	239	294	294
JV0789	117	117	160	160	193	193	238	240	277	288	115	115	165	169	236	236	282	282	124	124	175	175	216	216	251	265	200	200	239	239	294	294
JV0787	119	119	160	160	193	193	238	238	277	288	115	115	165	165	236	236	282	282	124	128	169	175	212	216	265	265	200	200	239	239	294	294
JV0786	119	119	160	160	193	193	238	238	277	288	99	115	165	165	236	236	282	282	124	128	169	175	216	216	265	299	200	200	239	239	294	294
