tree	JV0853	JV0854	JV0852	JV0851	JV0855	JV0624	JV0622	JV0619	JV0620	JV0621	JV0618	JV0617	JV0616	JV0615	JV0614	JV0613	JV0612	JV0611	JV0610	JV0609	JV0608	JV0607	JV0604	JV0606	JV0605	JV0603	JV0602	JV0601	JV0800	JV0799	JV0798	JV0797	JV0796	JV0793	JV0792	JV0791	JV0788	JV0789	JV0787	JV0786
JV0608	3.19338485947456e-07	3.3914042382947e-08	4.7612006419989e-07	6.66481008390675e-07	2.20032242213877e-07	1.99135229967461e-06	3.59549806704557e-07	6.51783181241782e-07	1.96270288815793e-07	5.04985277474364e-07	1.68172664388018e-06	3.18699282584737e-07	4.26449175291674e-07	4.96771803260737e-07	1.07300028698088e-06	0.00130164476398655	0.000127183146030208	0.00068875701092662	0.0116721789396628	0.0123248826951923	8.09901e-12	0.0327700425659742	0.00859049152889995	0.00448035058031064	0.00373137751676123	0.0025204244866489	0.000353796654707466	0.000123494670480229	9.52766788712822e-05	7.69289336099439e-06	5.35555214648318e-06	4.64893782978578e-05	2.09650607150043e-05	1.34616545731477e-05	2.81374456724351e-05	1.85731535853586e-05	2.38317033846265e-07	2.03263784533183e-06	1.74289761280975e-05	3.8236798413768e-05
JV0607	5.0860708769025e-07	5.39777563431569e-08	7.57737696531455e-07	1.05791152614782e-06	3.48940056456392e-07	3.14829699602986e-06	5.66735861552583e-07	1.02693047776867e-06	3.08789230117609e-07	7.94728687154546e-07	2.62873872224572e-06	4.96781394419284e-07	6.63115957338352e-07	7.7237914926202e-07	1.66476676401781e-06	0.00165274186628826	0.000154809279528108	0.000788921023569452	0.011814883814503	0.0129429886346605	0.0580281802716386	8.09901e-12	0.0206678130293335	0.0171545939098169	0.0120925930461224	0.00519341262990503	0.0007373376092346	0.000246875803053305	0.000190954939869131	1.50659802686705e-05	1.04619459129969e-05	9.02583823245211e-05	3.96822086545723e-05	2.49930694273721e-05	5.18749773459583e-05	3.44376505876002e-05	4.38650094450836e-07	3.7414633429146e-06	3.188634694419e-05	6.90235958804072e-05
JV0604	3.24388231797246e-06	3.44564814701514e-07	4.8386692976616e-06	6.74758751664927e-06	2.22663341579234e-06	2.00565390602045e-05	3.58229532323948e-06	6.47662319275615e-06	1.94213345072085e-06	4.99434849829207e-06	1.63731298684412e-05	3.08991039202129e-06	4.12337096295694e-06	4.79042555027066e-06	1.0289915530546e-05	0.0081421167643282	0.000781594286795427	0.00421461305342656	0.0314997631453766	0.0308803452995437	0.124188429740573	0.168731318390486	8.09901e-12	0.246726501430026	0.28148758624032	0.154169383989752	0.0100249519344709	0.00293104187594224	0.00208563884799317	0.000147989343422452	0.000101966962981788	0.000815463401940349	0.000367424118380781	0.000225935305571134	0.000469818853292376	0.000280902790209702	3.49587381763386e-06	2.97950711743793e-05	0.000249300037738982	0.000510654974024883
JV0606	2.3102673318616e-07	2.45208386156546e-08	3.44286430505544e-07	4.79353163408725e-07	1.58052807603795e-07	1.42117146742302e-06	2.53886276118577e-07	4.59187768285295e-07	1.37665830621247e-07	3.54185861711305e-07	1.15860808005873e-06	2.18307470868626e-07	2.90838146963015e-07	3.38127872050482e-07	7.25967734297077e-07	0.000545241015158624	5.08450668260031e-05	0.000260986244889623	0.00223174469053864	0.00223992438959377	0.00707055830572567	0.0152883355259466	0.0269335989063836	8.09901e-12	0.0899676354938871	0.00638810026780249	0.00071339249189232	0.000208596680405233	0.000153946045379916	1.1041832435642e-05	7.60669768010854e-06	6.19710221466767e-05	2.69552152979949e-05	1.63835465150944e-05	3.38055105737235e-05	2.10447715638191e-05	2.61975283703741e-07	2.23341458307018e-06	1.86870460854956e-05	3.84525711829396e-05
JV0605	4.86995037946881e-07	5.16964842314864e-08	7.258965739436e-07	1.01032554754943e-06	3.33143829877453e-07	2.99417303407255e-06	5.33991425510099e-07	9.65346061253468e-07	2.89238129295483e-07	7.44036775984748e-07	2.42891200263845e-06	4.57485552369717e-07	6.09390864100889e-07	7.0811184183821e-07	1.51918008262997e-06	0.0010884028971479	0.000101805980616475	0.000526359636716534	0.00406643634898704	0.00402603567401981	0.0123967908805324	0.0226880712050997	0.0646898597990247	0.189402052794529	8.09901e-12	0.0192310379522024	0.00185985673024497	0.000518539660992021	0.000374461969756811	2.60346554364977e-05	1.78939048360236e-05	0.000142914088503463	6.23802875584555e-05	3.76235322722829e-05	7.76121698121278e-05	4.71651350725773e-05	5.83675953381933e-07	4.97513284468319e-06	4.1434931039759e-05	8.41355919692727e-05
JV0603	2.4910214023896e-06	2.64712056445292e-07	3.71821427723943e-06	5.17589784832989e-06	1.7080727345995e-06	1.53501517148614e-05	2.72253922197578e-06	4.91311505431945e-06	1.46949742051277e-06	3.77695178466998e-06	1.22706823019474e-05	2.31110762312934e-06	3.08089797137011e-06	3.57225644705636e-06	7.64814116460236e-06	0.00485918706147968	0.000465579102867983	0.00252206183471055	0.013399461583776	0.0126743474238392	0.0368616923164009	0.0428935966124801	0.155968391998323	0.0592013477751943	0.0846572622461954	8.09901e-12	0.0187924861351535	0.00451788448922117	0.00287544102602782	0.000179433266177125	0.000122516058790273	0.000901462000836641	0.000415324283619798	0.000247952861690553	0.000515667390412331	0.000278206341581046	3.38186305749324e-06	2.88028642072943e-05	0.000236603501119585	0.00045972205281048
JV0602	4.84556905517735e-06	5.14744631739605e-07	7.23144190268315e-06	1.00164940366148e-05	3.30207964163275e-06	2.9496729220738e-05	5.17576019983662e-06	9.3179351351604e-06	2.7749887162056e-06	7.13106084198425e-06	2.27801130407402e-05	4.26861572643697e-06	5.66898991211987e-06	6.55951381363294e-06	1.39655782838371e-05	0.00630816134221733	0.000586382794693393	0.00303371312219695	0.0131638916943423	0.0122278965517197	0.0265472776418546	0.0312442935928086	0.0520337884360896	0.0339197852672511	0.0420054532773966	0.0964159597548694	8.09901e-12	0.0740151509813282	0.0297558351355534	0.00110054080033344	0.000726863802202222	0.00426938042745276	0.00192774826101811	0.00102699126459755	0.00209475115939245	0.000953945617513337	1.09858445734954e-05	9.34601135127346e-05	0.000736752223118752	0.00128960204914638
JV0601	1.13111117326469e-05	1.20176889284136e-06	1.68858946732095e-05	2.33435026250895e-05	7.69403993685458e-06	6.85612249474006e-05	1.19608879261997e-05	2.15024862442959e-05	6.38972406375413e-06	1.64151389532406e-05	5.20230312082745e-05	9.72859523891849e-06	1.2903667986494e-05	1.49101036105111e-05	3.16581302578537e-05	0.0123282674120556	0.00113911883655124	0.00584290115296826	0.0226380002946697	0.02080102295705	0.0419513318839332	0.0473602643113743	0.0688741796715866	0.0449017451817108	0.0530199644782359	0.104937588871276	0.335082616150493	8.09901e-12	0.326320167925263	0.00568594145912215	0.00363283523225277	0.0167907200501549	0.00789882330218688	0.00387506542364099	0.0078423210710733	0.003023812576458	3.35944769322843e-05	0.000285521140666735	0.00219221608312042	0.00358682809101168
JV0800	1.78822574059681e-05	1.89935010857285e-06	2.66876423885601e-05	3.68247574835385e-05	1.21311781201472e-05	0.000107861826361939	1.87606487378402e-05	3.37071404129617e-05	1.00037122182087e-05	2.5701256456331e-05	8.10231258719401e-05	1.51243259046853e-05	2.00311111681244e-05	2.31368182449521e-05	4.90449650322339e-05	0.0174908187282239	0.00160054182944899	0.00808416535115111	0.0306383155613234	0.0280790400047069	0.0539833443750776	0.0611001291057952	0.081742734509632	0.0552713412477469	0.0638617490509511	0.11139765829925	0.224687571535415	0.544276463419465	8.09901e-12	0.0198058347327185	0.0120011338917079	0.0430131948752984	0.0192200832536696	0.00852186663397867	0.0168573380484077	0.00608766751940075	6.57177436488731e-05	0.00055828361327336	0.00419891367603395	0.0065591697615739
JV0799	2.5436167438313e-05	2.70110908331946e-06	3.79575837368574e-05	5.22006782988721e-05	1.71847265560056e-05	0.000152179148340979	2.62798442908704e-05	4.71417048681876e-05	1.39511900983067e-05	3.58381995999816e-05	0.000111749568621521	2.07922352435616e-05	2.74724820906164e-05	3.16895122131348e-05	6.69375243031712e-05	0.0200022513812422	0.00180887967907938	0.00896957800130383	0.0313268344523878	0.0284726024113018	0.0510580197616857	0.056468948782546	0.0679425083239783	0.0464380203279061	0.0520098982584263	0.0814283505958757	0.0973451083561348	0.111091057503589	0.232003335826236	8.09901e-12	0.893668593551261	0.233709852472118	0.0981423693360782	0.029974603338098	0.055348772835075	0.0152160697784742	0.000151551434837082	0.00128528973334636	0.00914639544518035	0.0126198119472031
